"STATISTIC Label","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2011Q3","Apartment","Tipperary County Council","Number","1"
"New Dwelling Completion","2011Q3","Apartment","Waterford City & County Council","Number","2"
"New Dwelling Completion","2011Q3","Apartment","Westmeath County Council","Number","2"
"New Dwelling Completion","2011Q3","Apartment","Wicklow County Council","Number","1"
"New Dwelling Completion","2011Q3","Apartment","Wexford County Council","Number","9"
"New Dwelling Completion","2011Q3","Apartment","Ireland","Number","185"
"New Dwelling Completion","2011Q3","All house types","Cork City Council","Number","51"
"New Dwelling Completion","2011Q3","All house types","Clare County Council","Number","47"
"New Dwelling Completion","2011Q3","All house types","Cavan County Council","Number","45"
"New Dwelling Completion","2011Q3","All house types","Cork County Council","Number","164"
"New Dwelling Completion","2011Q3","All house types","Carlow County Council","Number","24"
"New Dwelling Completion","2011Q3","All house types","Dublin City Council","Number","41"
"New Dwelling Completion","2011Q3","All house types","Dún Laoghaire Rathdown County Council","Number","15"
"New Dwelling Completion","2011Q3","All house types","Donegal County Council","Number","115"
"New Dwelling Completion","2011Q3","All house types","Fingal County Council","Number","96"
"New Dwelling Completion","2011Q3","All house types","Galway County Council","Number","105"
"New Dwelling Completion","2011Q3","All house types","Galway City Council","Number","9"
"New Dwelling Completion","2011Q3","All house types","Kildare County Council","Number","42"
"New Dwelling Completion","2011Q3","All house types","Kilkenny County Council","Number","84"
"New Dwelling Completion","2011Q3","All house types","Kerry County Council","Number","77"
"New Dwelling Completion","2011Q3","All house types","Longford County Council","Number","12"
"New Dwelling Completion","2011Q3","All house types","Louth County Council","Number","31"
"New Dwelling Completion","2011Q3","All house types","Limerick City & County Council","Number","55"
"New Dwelling Completion","2011Q3","All house types","Leitrim County Council","Number","14"
"New Dwelling Completion","2011Q3","All house types","Laois County Council","Number","25"
"New Dwelling Completion","2011Q3","All house types","Meath County Council","Number","76"
"New Dwelling Completion","2011Q3","All house types","Monaghan County Council","Number","33"
"New Dwelling Completion","2011Q3","All house types","Mayo County Council","Number","124"
"New Dwelling Completion","2011Q3","All house types","Offaly County Council","Number","24"
"New Dwelling Completion","2011Q3","All house types","Roscommon County Council","Number","38"
"New Dwelling Completion","2011Q3","All house types","South Dublin County Council","Number","29"
"New Dwelling Completion","2011Q3","All house types","Sligo County Council","Number","35"
"New Dwelling Completion","2011Q3","All house types","Tipperary County Council","Number","73"
"New Dwelling Completion","2011Q3","All house types","Waterford City & County Council","Number","30"
"New Dwelling Completion","2011Q3","All house types","Westmeath County Council","Number","24"
